,#,CITY NAME,POPULATION
0,1,Dakar,2476400
1,2,Pikine,874062
2,3,Touba,529176
3,4,Thies,320000
4,5,Thies Nones,252320
5,6,Saint-Louis,176000
6,7,Kaolack,172305
7,8,Ziguinchor,159778
8,9,Tiebo,100289
9,10,Tambacounda,78800
10,11,Mbake,74100
11,12,Louga,67154
12,13,Kolda,58809
13,14,Richard-Toll,44752
14,15,Joal-Fadiout,36735
15,16,N'diareme limamoulaye,35171
16,17,Dara,30000
17,18,Kaffrine,28396
18,19,Ndibene Dahra,27741
19,20,Bignona,26237
20,21,Pourham,24146
21,22,Velingara,22441
22,23,Nioro du Rip,20711
23,24,Sedhiou,19702
24,25,Mekhe,19242
25,26,Kedougou,17922
26,27,Nguekhokh,17885
27,28,Pout,17752
28,29,Kayar,17193
29,30,Guinguineo,15395
30,31,Matam,15306
