,Région,Nombre men. agricole,Taille moyenne,Taille moyenne,Taille moyenne
,Région,Nombre men. agricole,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1
,Région,Nombre men. agricole,Unnamed: 2_level_2,Unnamed: 3_level_2,Unnamed: 4_level_2
0,DAKAR,85 351,10,,
1,DIOURBEL,74 973,12,,
2,FATICK,64 144,11,,
3,KAFFRINE,58 613,12,,
4,KAOLACK,76 453,12,,
5,KEDOUGOU,15 892,10,,
6,KOLDA,63 967,12,,
7,LOUGA,85 236,10,,
8,MATAM,50 694,13,,
9,SAINT.LOUIS,84 095,10,,
10,SEDHIOU,34 455,13,,
11,TAMBACOUNDA,59 223,13,,
12,THIES,110 918,12,,
13,ZIGUINCHOR,44 614,8,,
14,Ensemble,908 628,11,,
