,Région,Département,Hommes,Femmes,Ensemble
0,DAKAR,DAKAR,591 687,590 730,1 182 417
1,DAKAR,GUEDIAWAYE,186 058,187 580,373 638
2,DAKAR,KEUR MASSAR,384 527,375 322,759 849
3,DAKAR,PIKINE,387 192,371 362,758 554
4,DAKAR,RUFISQUE,415 637,406 469,822 105
5,DIOURBEL,BAMBEY,184 420,192 526,376 945
6,DIOURBEL,DIOURBEL,173 364,170 745,344 108
7,DIOURBEL,MBACKE,672 170,687 587,1 359 757
8,FATICK,FATICK,205 914,203 369,409 283
9,FATICK,FOUNDIOUGNE,186 192,190 216,376 408
10,FATICK,GOSSAS,62 677,60 489,123 167
11,KAFFRINE,KAFFRINE,140 608,140 360,280 969
12,KAFFRINE,BIRKELANE,76 408,74 798,151 205
13,KAFFRINE,KOUNGHEUL,128 864,124 847,253 710
14,KAFFRINE,MALEM HODDAR,70 418,64 985,135 403
15,KAOLACK,KAOLACK,334 014,330 994,665 008
16,KAOLACK,GUINGUINEO,82 943,77 540,160 483
17,KAOLACK,NIORO,258 875,254 306,513 181
18,KEDOUGOU,KEDOUGOU,65 612,58 653,124 265
19,KEDOUGOU,SALEMATA,14 173,13 938,28 111
20,KEDOUGOU,SARAYA,52 543,40 369,92 912
21,KOLDA,KOLDA,165 028,159 407,324 434
22,KOLDA,MEDINA YORO FOULAH,95 860,89 716,185 575
23,KOLDA,VELINGARA,207 881,198 622,406 504
24,LOUGA,LOUGA,236 852,241 035,477 887
25,LOUGA,KEBEMER,169 061,167 340,336 401
26,LOUGA,LINGUERE,158 555,154 275,312 831
27,MATAM,MATAM,201 916,185 951,387 866
28,MATAM,KANEL,173 543,168 964,342 507
29,MATAM,RANEROU FERLO,53 656,49 627,103 283
30,SAINT-LOUIS,SAINT LOUIS,197 217,190 296,387 513
31,SAINT-LOUIS,DAGANA,171 406,158 724,330 130
32,SAINT-LOUIS,PODOR,243 464,243 755,487 220
33,SEDHIOU,BOUNKILING,107 568,100 812,208 380
34,SEDHIOU,GOUDOMP,95 926,92 611,188 537
35,SEDHIOU,SEDHIOU,99 840,94 026,193 867
36,TAMBACOUNDA,TAMBACOUNDA,217 953,209 466,427 419
37,TAMBACOUNDA,BAKEL,97 109,93 392,190 501
38,TAMBACOUNDA,GOUDIRY,85 761,85 055,170 816
39,TAMBACOUNDA,KOUMPENTOUM,103 772,95 685,199 457
40,THIES,THIES,442 793,437 473,880 266
41,THIES,MBOUR,482 226,454 964,937 189
42,THIES,TIVAOUANE,333 852,316 216,650 067
43,ZIGUINCHOR,BIGNONA,148 831,136 066,284 897
44,ZIGUINCHOR,OUSSOUYE,27 563,25 320,52 883
45,ZIGUINCHOR,ZIGUINCHOR,139 932,134 631,274 563
46,SENEGAL,TOTAL,9 131 859,8 900 614,18 032 473
