,Région,Département,Types de ménage,Types de ménage,Types de ménage,Types de ménage
,Région,Département,Ordinaire,Collectif,Flottant,Total
,Région,Département,Unnamed: 2_level_2,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2
0,DAKAR,DAKAR,1 159 419,20 620,2 377,1 182 416
1,DAKAR,GUEDIAWAYE,369 124,4 461,53,373 638
2,DAKAR,KEUR.MASSAR,742 241,17 530,78,759 849
3,DAKAR,PIKINE,751 318,6 784,452,758 554
4,DAKAR,RUFISQUE,803 036,18 942,127,822 105
5,DIOURBEL,BAMBEY,373 124,3 730,91,376 945
6,DIOURBEL,DIOURBEL,333 433,10 648,27,344 108
7,DIOURBEL,MBACKE,1 300 107,59 471,179,1 359 757
8,FATICK,FATICK,404 069,5 117,97,409 283
9,FATICK,FOUNDIOUGNE,368 669,7 457,282,376 408
10,FATICK,GOSSAS,120 247,2 828,92,123 167
11,KAFFRINE,KAFFRINE,271 248,9 501,220,280 969
12,KAFFRINE,BIRKELANE,147 177,4 016,12,151 205
13,KAFFRINE,KOUNGHEUL,245 421,7 375,914,253 710
14,KAFFRINE,MALEM.HODDAR,129 966,5 266,171,135 403
15,KAOLACK,KAOLACK,639 328,25 314,366,665 008
16,KAOLACK,GUINGUINEO,156 536,3 911,36,160 483
17,KAOLACK,NIORO,500 898,12 251,32,513 181
18,KEDOUGOU,KEDOUGOU,122 022,2 225,18,124 265
19,KEDOUGOU,SALEMATA,27 741,355,15,28 111
20,KEDOUGOU,SARAYA,91 335,1 233,344,92 912
21,KOLDA,KOLDA,322 242,2 175,17,324 434
22,KOLDA,MEDINA.YORO.FOULAH,181 603,3 970,2,185 575
23,KOLDA,VELINGARA,404 368,2 088,48,406 504
24,LOUGA,LOUGA,464 478,13 389,20,477 887
25,LOUGA,KEBEMER,328 460,7 934,7,336 401
26,LOUGA,LINGUERE,304 661,6 848,1 322,312 831
27,MATAM,MATAM,364 149,23 401,316,387 866
28,MATAM,KANEL,330 959,11 522,26,342 507
29,MATAM,RANEROU,100 700,537,2 046,103 283
30,SAINT-LOUIS,SAINT.LOUIS,370 091,17 362,60,387 513
31,SAINT-LOUIS,DAGANA,323 771,6 265,94,330 130
32,SAINT-LOUIS,PODOR,475 876,11 016,328,487 220
33,SEDHIOU,BOUNKILING,201 989,6 387,4,208 380
34,SEDHIOU,GOUDOMP,185 848,2 689,0,188 537
35,SEDHIOU,SEDHIOU,187 538,6 325,4,193 867
36,TAMBACOUNDA,TAMBACOUNDA,419 622,7 324,473,427 419
37,TAMBACOUNDA,BAKEL,186 102,4 385,14,190 501
38,TAMBACOUNDA,GOUDIRY,168 966,1 668,182,170 816
39,TAMBACOUNDA,KOUMPENTOUM,195 762,3 615,80,199 457
40,THIES,THIES,860 005,20 132,129,880 266
41,THIES,MBOUR,919 695,17 393,101,937 189
42,THIES,TIVAOUANE,633 631,16 159,277,650 067
43,ZIGUINCHOR,BIGNONA,281 245,3 466,186,284 897
44,ZIGUINCHOR,OUSSOUYE,52 011,773,99,52 883
45,ZIGUINCHOR,ZIGUINCHOR,268 887,5 615,61,274 563
46,SENEGAL,TOTAL,17 589 121,431 473,11 879,18 032 473
